run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00023,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,16,1,1,independent_all_resident,1152,714.24,2880,96,12690.24,12.393,True,8301.76,1,0,0,72.67,n/a
costsim-00024,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,16,2,2,independent_all_resident,1152,714.24,2880,96,12690.24,12.393,True,8301.76,2,0,0,90.67,n/a
costsim-00025,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,16,4,4,independent_all_resident,1152,714.24,2880,96,12690.24,12.393,True,8301.76,4,0,0,126.67,n/a
costsim-00026,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,32,1,1,independent_all_resident,1152,714.24,5760,96,15570.24,15.205,True,5421.76,1,0,0,72.67,n/a
costsim-00027,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,32,2,2,independent_all_resident,1152,714.24,5760,96,15570.24,15.205,True,5421.76,2,0,0,90.67,n/a
costsim-00028,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,1,1,32,4,4,independent_all_resident,1152,714.24,5760,96,15570.24,15.205,True,5421.76,4,0,0,126.67,n/a
costsim-00029,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,4,1,1,independent_all_resident,2304,1428.48,720,96,11244.48,10.981,True,9747.52,1,0,0,85.34,n/a
costsim-00030,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,4,2,2,independent_all_resident,2304,1428.48,720,96,11244.48,10.981,True,9747.52,2,0,0,103.34,n/a
costsim-00031,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,4,4,4,independent_all_resident,2304,1428.48,720,96,11244.48,10.981,True,9747.52,4,0,0,139.34,n/a
costsim-00032,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,8,1,1,independent_all_resident,2304,1428.48,1440,96,11964.48,11.684,True,9027.52,1,0,0,85.34,n/a
costsim-00033,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,8,2,2,independent_all_resident,2304,1428.48,1440,96,11964.48,11.684,True,9027.52,2,0,0,103.34,n/a
costsim-00034,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,3,3,8,4,4,independent_all_resident,2304,1428.48,1440,96,11964.48,11.684,True,9027.52,4,0,0,139.34,n/a
